Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer,,,,,,,,,,,,,
C1,100uF,CAP-TH_BD5.0-P2.00-D0.8-FD,18.503,-12.7253,180,bottom,,,,,,,,,,,,,
C2,0.1uF,C_0805,26.003,-27.75,90,bottom,,,,,,,,,,,,,
C3,0.1uF,C_0805,30.003,-23.75,90,bottom,,,,,,,,,,,,,
D1,BZT52B5V1S,DIO_BZT52B5V1S,25.003,-23.75,-90,bottom,,,,,,,,,,,,,
D2,BAT54S,bat4s_kl4,23.003,-27.25,180,bottom,,,,,,,,,,,,,
F1,BSMD0603-010-24V,F0603,22.503,-23.75,-90,bottom,,,,,,,,,,,,,
J1,22-03-5035,MOLEX_22-03-5035,2.67,-29.25,0,bottom,,,,,,,,,,,,,
J2,22-03-5035,MOLEX_22-03-5035,8.02,-34.6437,0,bottom,,,,,,,,,,,,,
J3,22-03-5035,MOLEX_22-03-5035,13.17,-29.25,0,bottom,,,,,,,,,,,,,
J4,22-03-5035,MOLEX_22-03-5035,2.67,-23.8,0,bottom,,,,,,,,,,,,,
J5,22-03-5035,MOLEX_22-03-5035,13.17,-18.38,0,bottom,,,,,,,,,,,,,
J6,22-03-5035,MOLEX_22-03-5035,13.17,-23.8,0,bottom,,,,,,,,,,,,,
J7,22-03-5035,MOLEX_22-03-5035,2.67,-18.38,0,bottom,,,,,,,,,,,,,
J8,XT30-PW-M,XT30-PW-M,11.003,-8.75,0,bottom,,,,,,,,,,,,,
Q1,MMBT2907A,transistor-SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,20.42,-35.75,180,bottom,,,,,,,,,,,,,
R1,10K,R_0805,26.503,-34.75,0,bottom,,,,,,,,,,,,,
R4,10K,R_0805,23.003,-31.75,90,bottom,,,,,,,,,,,,,
R5,10K,R_0805,27.503,-23.75,90,bottom,,,,,,,,,,,,,
R6,1K,R_0805,19.503,-39.25,180,bottom,,,,,,,,,,,,,
R7,3.3K,R_0805,17.003,-35.75,90,bottom,,,,,,,,,,,,,
U1,SN74LVC1G126DBVR,SN74LVC1G126DBVR,29.503,-27.75,0,bottom,,,,,,,,,,,,,
U2,SN74LVC1G125DBVR,SN74LVC1G125DBVR,26.503,-31.75,0,bottom,,,,,,,,,,,,,
