Comment,Quantity,Designator,Footprint,JLCPCB Part,Link,,,,,,,,,,,,,,
100uF,1,C1,CAP-TH_BD5.0-P2.00-D0.8-FD,C47873,https://jlcpcb.com/partdetail/48879-KM107M025D11RR0VH2FP0/C47873,,,,,,,,,,,,,,
100nF,2,"C2,C3",C_0805,C520082,https://jlcpcb.com/partdetail/YAGEO-CC0805JRX7R7BB104/C520082,,,,,,,,,,,,,,
BZT52B5V1S,1,D1,DIO_BZT52B5V1S,C5261067,https://jlcpcb.com/partdetail/HXYMOSFET-BZT52B5V1S/C5261067,,,,,,,,,,,,,,
BAT54S,1,D2,BAT4S KL4,C8592,https://jlcpcb.com/partdetail/9087-BAT54SKL4/C8592,,,,,,,,,,,,,,
BSMD0603-010-24V,1,F1,F0603,C883089,https://jlcpcb.com/partdetail/BHFUSE-BSMD0603_01024V/C883089,,,,,,,,,,,,,,
MOLEX CONNECTOR,7,"J1,J2,J3,J4,J5,J6,J7",MOLEX_22-03-5035,C5458299,https://jlcpcb.com/partdetail/MOLEX-0022035053/C5458299,,,,,,,,,,,,,,
XT30PW-M,1,J8,XT30PWM,C431092,https://jlcpcb.com/partdetail/Changzhou_AmassElec-XT30PW_M30_GY/C431092,,,,,,,,,,,,,,
MMBT2907A,1,Q1,Transistor-SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,C305431,https://jlcpcb.com/partdetail/Foshan_Blue_RocketElec-MMBT2907A/C305431,,,,,,,,,,,,,,
10K,3,"R1,R4,R5",R_0805,C702829,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT0510KFLF/C702829,,,,,,,,,,,,,,
1K,1,R6,R_0805,C702831,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT051KFLF/C702831,,,,,,,,,,,,,,
3.3K,1,R7,R_0805,C702834,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT053K3FLF/C702834,,,,,,,,,,,,,,
SN74LVC1G126DBVR,1,U1,SN74LVC1G126DBVR,C7834,https://jlcpcb.com/partdetail/TexasInstruments-TISN74LVC1G126DBVR/C7834,,,,,,,,,,,,,,
SN74LVC1G125DBVR,1,U2,SN74LVC1G125DBVR,C23654,https://jlcpcb.com/partdetail/TexasInstruments-TISN74LVC1G125DBVR/C23654,,,,,,,,,,,,,,
