,P/N,Name,Material,Qty per Hand,Volume (mm^3),Total Cost per Hand,Link,Alternative,Notes
,,,,,,,,,
3D Printed,1,Finger Base,PLA,4,975,0.024362813,Bambu Lab,,3DP parts have been designed for PLA printed on a Bambu X1C with a 0.4mm nozzle. Tolerances may need to change if printing with different materials/nozzles/printers.
,2,Finger MCP,PLA,4,606,0.015142425,,,
,3,Finger Proximal,PLA,4,5776,0.1443278,,,
,4,Finger Medial,PLA,4,2644,0.06606695,,,
,5,Finger Distal,PLA,4,1547,0.038655663,,,
,6,Cable Spool,PLA,6,735,0.018365813,,,
,7,Thumb Abduction Upper Servo Disk,PLA,1,786,0.019640175,,,
,8,Thumb Abduction Lower Servo Disk,PLA,1,1366,0.034132925,,,
,9,Thumb Abduction Linkage Bar,PLA,1,334,0.008345825,,,
,10,Thumb CMC Base,PLA,1,5548,0.13863065,,,
,11,Thumb MCP,PLA,1,11204,0.27995995,,,
,12,Thumb Proximal ,PLA,1,6926,0.173063425,,,
,13,Thumb Distal,PLA,1,3912,0.0977511,,,
,14,Servo Frame,PLA,1,15055,0.376186813,,,
,15,Palm Front Frame,PLA,1,18734,0.468115825,,,
,16,Palm Rear Frame,PLA,1,106254,2.655021825,,,
,17,Silicone molds Top,PLA,1,39531,0.987780863,,,
,18,Silicone molds Bottom,PLA,1,51643,1.290429463,,,
Casting,19,Finger Distal Pad,00-30 Silicone,4,1322,0.02754653,https://www.amazon.com/Ecoflex-00-30-Super-Platinum-Silicone/dp/B00CA5VY3U,,We recomend using silicone pads to maximize compliance and grip however we also provide files for tpu to replace the foam. The hand functionality will be slightly lowered with the use of TPU.
,20,Finger Proximal Pad,00-31 Silicone,4,1123,0.023399965,,,
,21,Thumb Distal Pad,00-32 Silicone,1,2998,0.062469363,,,
,22,Palm Frame Pad,00-33 Silicone,1,12180,0.253794808,,,
,,Name,Material,Qty per Hand,Unit Cost,Total Cost Per Hand,Link,Alternative,Notes
,,,,,,,,,
Purchased Components,23,Finger Distal/Medial and Thumb Proximal/Distal Return Spring (PIP),Music Wire,5,5.27,26.35,https://www.thespringstore.com/pe020-140-33500-mw-0840-mh-n-in.html,,
,24,Finger Proximal/MCP Return Spring (MP),Music Wire,4,3.27,13.08,https://www.centuryspring.com/shop/m-35cs,,
,25,Thumb CMC/MCP Return Spring (CMC),Music Wire,1,4.93,4.93,https://www.thespringstore.com/pe023-172-11218-mw-0470-mh-n-in.html,,
,26,Finger Pull Cable,Kevlar/Vectran,3,6.29,6.29,https://www.amazon.com/9KM-DWLIFE-Strength-Retardant-Ridgeline/dp/B0B1WKH21R/ref=sr_1_6?crid=2UK26TS3IMGSU&dib=eyJ2IjoiMSJ9.0EfakfgCfpPUZH_Ybzwis_fhVLCyTN9nn8WUVwPhfQR6EwSL105ah63-i1a4AOUR-eGD3rAzSemJyIwSWg8mKd3seIu9gZETVN4GOZFKcVrUxV89S4emp7VeVXU0caBgFDpbkH--vpKNtpwoaqAMSU6sGItVldmZiS-6MMDonm5Uwf36AzHpXXhkaLtm4FL3zeRNje7pwYro7juvrIi7y_BL_9KBsuhb2JVSRKgVGe0r6gfn6_X_Abty4XxuJkNtxXAW967PoyxVqeW7ue3DpsaMePTvVA3bQu5wYEkgSmw.Odsm08n8zlXnBaU0AsYn7AYdOpd5_7jFZunC8KfPcac&dib_tag=se&keywords=DWLIFE%2BKevlar%2BCord&qid=1756934029&s=sporting-goods&sprefix=dwlife%2Bkevlar%2Bcord%2Csporting%2C221&sr=1-6&th=1,https://twinline-usa.com/collections/vectran-per-pound/products/braided-vectran-125-spools,The hand is designed to use this specific vectran however kevlar can be used
,27,Pinky Pull Cable,Kevlar/Vectran,1,,,,,
,28,Finger Coupling Cable,Kevlar/Vectran,4,,,,,
,29,Thumb CMC Flex Cable,Kevlar/Vectran,1,,,,,
,30,Thumb Pull Cable,Kevlar/Vectran,1,,,,,
,31,Thumb Coupling Cable,Kevlar/Vectran,1,,,,,
,32,2x5x2.5 bearing,Steel,23,0.5216,11.9968,https://www.amazon.com/Yodaoke-MR52ZZ-2x5x2-5mm-Miniature-Bearings/dp/B08L7NTVK7?crid=15X06LCZ2OV2&dib=eyJ2IjoiMSJ9.V4AyAJx4AgHipuFaG--qruVP7GFMOg6-IMGrj3dzU17K1TgPTT9K02XfbHo8PLfN7U89FwLb8E3dfNEZnzQZbMGmzRoQ9beY6R2f2P-Bqkc34bWqhDURdfAhY1qioo4phxNKfeLH_wQ8L6bVvMuRKnCqaRX1tMG6yZfR4LqBNV6SzgQOZIiyEDM2NzWrfwtjNw3o1EzUPaC6PJDaKyiHqNQ5Wx2WMmpLxPiW7lscQNM.diVN5Tuupxp13La6HNORyYz1OLsM5PzlafBAkotUwdc&dib_tag=se&keywords=bearings%2B2x5x2.5+25pcs&qid=1755730063&sprefix=bearings%2B2x5x2.5+25pcs%2Caps%2C146&sr=8-2,https://www.amazon.com/dp/B08L7NTVK7?ref=fed_asin_title,"Pins and bearings can vary depending on the supplier. The biggest issue will be fitting pins through the bearings. We recommend buying undersized pins to ensure the pins maintain a slip fit with the bearings. We spec a cheap bearing from amazon that works, however if there are fitment issues we recommend using the bearings from misumi"
,33,1x10 Pin,Steel,16,0.158,2.528,https://www.mcmaster.com/91585A091/,https://us.misumi-ec.com/vona2/detail/110300255260/?HissuCode=MSCSS1-10&PNSearch=MSCSS1-10&searchFlow=results2type&KWSearch=MSCSS1-10,
