Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer,,,,,,,,,,,,,
C1,100uF,CAP-TH_BD5.0-P2.00-D0.8-FD,18.503,-12.7253,0,top,,,,,,,,,,,,,
C2,0.1uF,C_0805,26.003,-27.75,90,top,,,,,,,,,,,,,
C3,0.1uF,C_0805,30.003,-23.75,90,top,,,,,,,,,,,,,
D1,BZT52B5V1S,DIO_BZT52B5V1S,25.003,-23.75,-90,top,,,,,,,,,,,,,
D2,BAT54S,bat4s_kl4,23.003,-27.25,0,top,,,,,,,,,,,,,
F1,BSMD0603-010-24V,F0603,22.503,-23.75,-90,top,,,,,,,,,,,,,
J1,MOLEX CONNECTOR,MOLEX_22-03-5035,7.6531,-29.2521,180,top,,,,,,,,,,,,,
J2,MOLEX CONNECTOR,MOLEX_22-03-5035,13.018,-34.6437,180,top,,,,,,,,,,,,,
J3,MOLEX CONNECTOR,MOLEX_22-03-5035,18.168,-29.2386,180,top,,,,,,,,,,,,,
J4,MOLEX CONNECTOR,MOLEX_22-03-5035,7.6446,-23.8169,180,top,,,,,,,,,,,,,
J5,MOLEX CONNECTOR,MOLEX_22-03-5035,18.1948,-18.3979,180,top,,,,,,,,,,,,,
J6,MOLEX CONNECTOR,MOLEX_22-03-5035,18.17,-23.814,180,top,,,,,,,,,,,,,
J7,MOLEX CONNECTOR,MOLEX_22-03-5035,7.6814,-18.3894,180,top,,,,,,,,,,,,,
J8,XT30-PW-M,XT30-PW-M,10.9471,-9.51,180,top,,,,,,,,,,,,,
Q1,MMBT2907A,transistor-SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,20.003,-35.75,0,top,,,,,,,,,,,,,
R1,10K,R_0805,26.503,-34.75,180,top,,,,,,,,,,,,,
R4,10K,R_0805,23.003,-31.75,90,top,,,,,,,,,,,,,
R5,10K,R_0805,27.503,-23.75,90,top,,,,,,,,,,,,,
R6,1K,R_0805,19.503,-39.25,0,top,,,,,,,,,,,,,
R7,3.3K,R_0805,17.003,-35.75,90,top,,,,,,,,,,,,,
U1,SN74LVC1G126DBVR,SN74LVC1G126DBVR,29.503,-27.75,180,top,,,,,,,,,,,,,
U2,SN74LVC1G125DBVR,SN74LVC1G125DBVR,26.503,-31.75,180,top,,,,,,,,,,,,,
